lemma_de,article,part_of_speech,current_meaning_ja,candidate_meaning_ja,query,review_status,notes
erwarten,,verb,期待する,期待する,erwarten,machine_candidate,Review before applying to seed
erzählen,,verb,教えて,教えて,erzählen,machine_candidate,Review before applying to seed
Erzählung,die,noun,物語,物語,Erzählung,machine_candidate,Review before applying to seed
erziehen,,verb,教育する,教育する,erziehen,machine_candidate,Review before applying to seed
Erziehung,die,noun,育成,育成,Erziehung,machine_candidate,Review before applying to seed
essen,,verb,食べる,食べる,essen,machine_candidate,Review before applying to seed
Essig,der,noun,酢,酢,Essig,machine_candidate,Review before applying to seed
Esszimmer,das,noun,ダイニングルーム,ダイニングルーム,Esszimmer,machine_candidate,Review before applying to seed
etwa,,unknown,約,約,etwa,machine_candidate,Review before applying to seed
etwas,,unknown,何か,何か,etwas,machine_candidate,Review before applying to seed
Euro,der,noun,ユーロ,ユーロ,Euro,machine_candidate,Review before applying to seed
Europa,die,noun,ヨーロッパ,ヨーロッパ,Europa,machine_candidate,Review before applying to seed
Europäer,der,noun,ヨーロッパ人,ヨーロッパ人,Europäer,machine_candidate,Review before applying to seed
europäisch,,adjective,ヨーロッパ人,ヨーロッパ人,europäisch,machine_candidate,Review before applying to seed
ewig,,adjective,永遠に,永遠に,ewig,machine_candidate,Review before applying to seed
Examen,das,noun,テスト,テスト,Examen,machine_candidate,Review before applying to seed
Export,der,noun,輸出,輸出,Export,machine_candidate,Review before applying to seed
Fabrik,die,noun,工場,工場,Fabrik,machine_candidate,Review before applying to seed
Fach,das,noun,学問,学問,Fach,machine_candidate,Review before applying to seed
fahren,,verb,乗り物で行く,乗り物で行く,fahren,machine_candidate,Review before applying to seed
Fahrer,der,noun,ドライバ,ドライバ,Fahrer,machine_candidate,Review before applying to seed
Fahrkarte,die,noun,チケット,チケット,Fahrkarte,machine_candidate,Review before applying to seed
Fahrrad,das,noun,自転車,自転車,Fahrrad,machine_candidate,Review before applying to seed
Fahrt,die,noun,ドライブ,ドライブ,Fahrt,machine_candidate,Review before applying to seed
Fall,der,noun,場合,場合,Fall,machine_candidate,Review before applying to seed
fallen,,verb,秋,秋,fallen,machine_candidate,Review before applying to seed
falsch,,unknown,正しくない,正しくない,falsch,machine_candidate,Review before applying to seed
Familie,die,noun,家族,家族,Familie,machine_candidate,Review before applying to seed
Familienname,der,noun,姓,姓,Familienname,machine_candidate,Review before applying to seed
fangen,,verb,キャッチ,キャッチ,fangen,machine_candidate,Review before applying to seed
Farbe,die,noun,色,色,Farbe,machine_candidate,Review before applying to seed
fast,,unknown,ほとんど,ほとんど,fast,machine_candidate,Review before applying to seed
faul,,unknown,怠け者,怠け者,faul,machine_candidate,Review before applying to seed
fehlen,,verb,逃す,逃す,fehlen,machine_candidate,Review before applying to seed
Fehler,der,noun,間違い,間違い,Fehler,machine_candidate,Review before applying to seed
Feier,die,noun,お祝い,お祝い,Feier,machine_candidate,Review before applying to seed
feiern,,verb,祝う,祝う,feiern,machine_candidate,Review before applying to seed
Feiertag,der,noun,休日,休日,Feiertag,machine_candidate,Review before applying to seed
Feld,das,noun,分野,分野,Feld,machine_candidate,Review before applying to seed
Fenster,das,noun,ウィンドウ,ウィンドウ,Fenster,machine_candidate,Review before applying to seed
Ferien,die,noun,休暇,休暇,Ferien,machine_candidate,Review before applying to seed
fern,,verb,リモート,リモート,fern,machine_candidate,Review before applying to seed
fernsehen,,verb,テレビ,テレビ,fernsehen,machine_candidate,Review before applying to seed
Fernseher,der,noun,テレビ,テレビ,Fernseher,machine_candidate,Review before applying to seed
fertig,,adjective,完了,完了,fertig,machine_candidate,Review before applying to seed
fest,,unknown,しっかりと,しっかりと,fest,machine_candidate,Review before applying to seed
fett,,unknown,脂肪,脂肪,fett,machine_candidate,Review before applying to seed
Feuer,das,noun,火,火,Feuer,machine_candidate,Review before applying to seed
Fieber,das,noun,熱,熱,Fieber,machine_candidate,Review before applying to seed
Film,der,noun,膜,膜,Film,machine_candidate,Review before applying to seed
finden,,verb,見つける、思う,見つける、思う,finden,machine_candidate,Review before applying to seed
Finger,der,noun,指,指,Finger,machine_candidate,Review before applying to seed
Firma,die,noun,会社,会社,Firma,machine_candidate,Review before applying to seed
Fisch,der,noun,魚,魚,Fisch,machine_candidate,Review before applying to seed
Flasche,die,noun,ボトル,ボトル,Flasche,machine_candidate,Review before applying to seed
Fleisch,das,noun,肉,肉,Fleisch,machine_candidate,Review before applying to seed
fleißig,,adjective,勤勉な,勤勉な,fleißig,machine_candidate,Review before applying to seed
fliegen,,verb,飛ぶ,飛ぶ,fliegen,machine_candidate,Review before applying to seed
fließen,,verb,流れ,流れ,fließen,machine_candidate,Review before applying to seed
Flug,der,noun,フライト,フライト,Flug,machine_candidate,Review before applying to seed
Flughafen,der,noun,空港,空港,Flughafen,machine_candidate,Review before applying to seed
Flugzeug,das,noun,飛行機,飛行機,Flugzeug,machine_candidate,Review before applying to seed
Flur,der,noun,廊下,廊下,Flur,machine_candidate,Review before applying to seed
Fluss,der,noun,流れ,流れ,Fluss,machine_candidate,Review before applying to seed
folgen,,verb,結果,結果,folgen,machine_candidate,Review before applying to seed
fordern,,verb,要求,要求,fordern,machine_candidate,Review before applying to seed
Form,die,noun,形状,形状,Form,machine_candidate,Review before applying to seed
Formular,das,noun,形状,形状,Formular,machine_candidate,Review before applying to seed
Forschung,die,noun,研究,研究,Forschung,machine_candidate,Review before applying to seed
fort,,unknown,続き,続き,fort,machine_candidate,Review before applying to seed
Fortschritt,der,noun,進捗,進捗,Fortschritt,machine_candidate,Review before applying to seed
Foto,das,noun,写真,写真,Foto,machine_candidate,Review before applying to seed
fotografieren,,verb,写真,写真,fotografieren,machine_candidate,Review before applying to seed
Frage,die,noun,聞く,聞く,Frage,machine_candidate,Review before applying to seed
fragen,,verb,質問,質問,fragen,machine_candidate,Review before applying to seed
Frau,die,noun,女性,女性,Frau,machine_candidate,Review before applying to seed
frei,,unknown,無料,無料,frei,machine_candidate,Review before applying to seed
Freiheit,die,noun,自由,自由,Freiheit,machine_candidate,Review before applying to seed
freiwillig,,adjective,自主的に,自主的に,freiwillig,machine_candidate,Review before applying to seed
fremd,,unknown,外国,外国,fremd,machine_candidate,Review before applying to seed
Fremde,die,noun,見知らぬ人,見知らぬ人,Fremde,machine_candidate,Review before applying to seed
Fremdsprache,die,noun,外国語,外国語,Fremdsprache,machine_candidate,Review before applying to seed
Freude,die,noun,喜び,喜び,Freude,machine_candidate,Review before applying to seed
freuen,,verb,幸せになる,幸せになる,freuen,machine_candidate,Review before applying to seed
Freund,der,noun,友達,友達,Freund,machine_candidate,Review before applying to seed
freundlich,,adjective,フレンドリー,フレンドリー,freundlich,machine_candidate,Review before applying to seed
Frieden,der,noun,平和,平和,Frieden,machine_candidate,Review before applying to seed
frieren,,verb,フリーズする,フリーズする,frieren,machine_candidate,Review before applying to seed
frisch,,adjective,新鮮な,新鮮な,frisch,machine_candidate,Review before applying to seed
Friseur,der,noun,理容師,理容師,Friseur,machine_candidate,Review before applying to seed
froh,,unknown,嬉しい,嬉しい,froh,machine_candidate,Review before applying to seed
Frucht,die,noun,フルーツ,フルーツ,Frucht,machine_candidate,Review before applying to seed
früh,,unknown,早い,早い,früh,machine_candidate,Review before applying to seed
früher,,unknown,以前,以前,früher,machine_candidate,Review before applying to seed
Frühling,der,noun,春,春,Frühling,machine_candidate,Review before applying to seed
Frühstück,das,noun,朝食,朝食,Frühstück,machine_candidate,Review before applying to seed
frühstücken,,verb,朝食をとる,朝食をとる,frühstücken,machine_candidate,Review before applying to seed
fühlen,,verb,感じる,感じる,fühlen,machine_candidate,Review before applying to seed
führen,,verb,鉛,鉛,führen,machine_candidate,Review before applying to seed
Führerschein,der,noun,運転免許証,運転免許証,Führerschein,machine_candidate,Review before applying to seed
füllen,,verb,埋める,埋める,füllen,machine_candidate,Review before applying to seed
für,,unknown,のために,のために,für,machine_candidate,Review before applying to seed
furchtbar,,adjective,ひどい,ひどい,furchtbar,machine_candidate,Review before applying to seed
fürchten,,verb,恐れ,恐れ,fürchten,machine_candidate,Review before applying to seed
Fuß,der,noun,足,足,Fuß,machine_candidate,Review before applying to seed
Fußball,der,noun,フットボール,フットボール,Fußball,machine_candidate,Review before applying to seed
Fußgänger,der,noun,歩行者,歩行者,Fußgänger,machine_candidate,Review before applying to seed
Gabel,die,noun,フォーク,フォーク,Gabel,machine_candidate,Review before applying to seed
ganz,,unknown,とても,とても,ganz,machine_candidate,Review before applying to seed
gar,,unknown,平,平,gar,machine_candidate,Review before applying to seed
Garage,die,noun,ガレージ,ガレージ,Garage,machine_candidate,Review before applying to seed
Garten,der,noun,庭,庭,Garten,machine_candidate,Review before applying to seed
Gast,der,noun,ゲスト,ゲスト,Gast,machine_candidate,Review before applying to seed
Gasthaus,das,noun,宿,宿,Gasthaus,machine_candidate,Review before applying to seed
Gebäude,das,noun,建物,建物,Gebäude,machine_candidate,Review before applying to seed
geben,,verb,与える,与える,geben,machine_candidate,Review before applying to seed
Gebiet,das,noun,エリア,エリア,Gebiet,machine_candidate,Review before applying to seed
Gebirge,das,noun,山,山,Gebirge,machine_candidate,Review before applying to seed
geboren,,verb,生まれる,生まれる,geboren,machine_candidate,Review before applying to seed
Geburtsort,der,noun,出生地,出生地,Geburtsort,machine_candidate,Review before applying to seed
Geburtstag,der,noun,誕生日,誕生日,Geburtstag,machine_candidate,Review before applying to seed
Gedanke,der,noun,考え,考え,Gedanke,machine_candidate,Review before applying to seed
Gedicht,das,noun,詩,詩,Gedicht,machine_candidate,Review before applying to seed
gefährlich,,adjective,危険な,危険な,gefährlich,machine_candidate,Review before applying to seed
gefallen,,verb,落ちた,落ちた,gefallen,machine_candidate,Review before applying to seed
Gefühl,das,noun,フィーリング,フィーリング,Gefühl,machine_candidate,Review before applying to seed
gegen,,verb,に対して,に対して,gegen,machine_candidate,Review before applying to seed
Gegend,die,noun,エリア,エリア,Gegend,machine_candidate,Review before applying to seed
gegenüber,,unknown,反対,反対,gegenüber,machine_candidate,Review before applying to seed
Gegenwart,die,noun,現在,現在,Gegenwart,machine_candidate,Review before applying to seed
Gehalt,der,noun,給料,給料,Gehalt,machine_candidate,Review before applying to seed
gehen,,verb,行く,行く,gehen,machine_candidate,Review before applying to seed
gehören,,verb,属する,属する,gehören,machine_candidate,Review before applying to seed
Geige,die,noun,バイオリン,バイオリン,Geige,machine_candidate,Review before applying to seed
Geist,der,noun,精神,精神,Geist,machine_candidate,Review before applying to seed
gelangen,,verb,到着,到着,gelangen,machine_candidate,Review before applying to seed
gelb,,unknown,黄色,黄色,gelb,machine_candidate,Review before applying to seed
Geld,das,noun,お金,お金,Geld,machine_candidate,Review before applying to seed
gelten,,verb,適用する,適用する,gelten,machine_candidate,Review before applying to seed
Gemüse,das,noun,野菜,野菜,Gemüse,machine_candidate,Review before applying to seed
gemütlich,,adjective,居心地の良い,居心地の良い,gemütlich,machine_candidate,Review before applying to seed
genau,,unknown,通り,通り,genau,machine_candidate,Review before applying to seed
genießen,,verb,楽しむ,楽しむ,genießen,machine_candidate,Review before applying to seed
genug,,unknown,十分,十分,genug,machine_candidate,Review before applying to seed
genügen,,verb,十分です,十分です,genügen,machine_candidate,Review before applying to seed
Gepäck,das,noun,手荷物,手荷物,Gepäck,machine_candidate,Review before applying to seed
gerade,,unknown,真っ直ぐ,真っ直ぐ,gerade,machine_candidate,Review before applying to seed
geradeaus,,unknown,まっすぐ,まっすぐ,geradeaus,machine_candidate,Review before applying to seed
Gericht,das,noun,裁判所,裁判所,Gericht,machine_candidate,Review before applying to seed
gern,,verb,喜んで,喜んで,gern,machine_candidate,Review before applying to seed
Geschäft,das,noun,仕事,仕事,Geschäft,machine_candidate,Review before applying to seed
geschehen,,verb,起こる,起こる,geschehen,machine_candidate,Review before applying to seed
Geschenk,das,noun,贈り物,贈り物,Geschenk,machine_candidate,Review before applying to seed
Geschichte,die,noun,話,話,Geschichte,machine_candidate,Review before applying to seed
Geschirr,das,noun,料理,料理,Geschirr,machine_candidate,Review before applying to seed
Geschmack,der,noun,味,味,Geschmack,machine_candidate,Review before applying to seed
Geschwister,das,noun,兄弟,兄弟,Geschwister,machine_candidate,Review before applying to seed
Gesellschaft,die,noun,会社,会社,Gesellschaft,machine_candidate,Review before applying to seed
Gesetz,das,noun,法,法,Gesetz,machine_candidate,Review before applying to seed
Gesicht,das,noun,顔,顔,Gesicht,machine_candidate,Review before applying to seed
Gespräch,das,noun,会話,会話,Gespräch,machine_candidate,Review before applying to seed
gestern,,verb,昨日,昨日,gestern,machine_candidate,Review before applying to seed
gesund,,unknown,健康,健康,gesund,machine_candidate,Review before applying to seed
Gesundheit,die,noun,健康,健康,Gesundheit,machine_candidate,Review before applying to seed
Getränk,das,noun,飲み物,飲み物,Getränk,machine_candidate,Review before applying to seed
Gewalt,die,noun,暴力,暴力,Gewalt,machine_candidate,Review before applying to seed
gewinnen,,verb,勝つ,勝つ,gewinnen,machine_candidate,Review before applying to seed
Gewitter,das,noun,雷雨,雷雨,Gewitter,machine_candidate,Review before applying to seed
gewöhnen,,verb,慣れる,慣れる,gewöhnen,machine_candidate,Review before applying to seed
gewöhnlich,,adjective,いつもの,いつもの,gewöhnlich,machine_candidate,Review before applying to seed
Glas,das,noun,ガラス,ガラス,Glas,machine_candidate,Review before applying to seed
glauben,,verb,信じる,信じる,glauben,machine_candidate,Review before applying to seed
gleich,,unknown,平,平,gleich,machine_candidate,Review before applying to seed
gleichfalls,,unknown,あなたもね,あなたもね,gleichfalls,machine_candidate,Review before applying to seed
Gleis,das,noun,追跡,追跡,Gleis,machine_candidate,Review before applying to seed
Glück,das,noun,運,運,Glück,machine_candidate,Review before applying to seed
glücklich,,adjective,ハッピー,ハッピー,glücklich,machine_candidate,Review before applying to seed
Gold,das,noun,金,金,Gold,machine_candidate,Review before applying to seed
golden,,verb,ゴールデン,ゴールデン,golden,machine_candidate,Review before applying to seed
Gott,der,noun,神,神,Gott,machine_candidate,Review before applying to seed
Grad,der,noun,程度,程度,Grad,machine_candidate,Review before applying to seed
Gramm,das,noun,グラム,グラム,Gramm,machine_candidate,Review before applying to seed
Gras,das,noun,草,草,Gras,machine_candidate,Review before applying to seed
gratulieren,,verb,おめでとう,おめでとう,gratulieren,machine_candidate,Review before applying to seed
grau,,unknown,グレー,グレー,grau,machine_candidate,Review before applying to seed
greifen,,verb,掴む,掴む,greifen,machine_candidate,Review before applying to seed
Grenze,die,noun,国境,国境,Grenze,machine_candidate,Review before applying to seed
Grippe,die,noun,インフルエンザ,インフルエンザ,Grippe,machine_candidate,Review before applying to seed
groß,,unknown,大きい,大きい,groß,machine_candidate,Review before applying to seed
Größe,die,noun,サイズ,サイズ,Größe,machine_candidate,Review before applying to seed
Großmutter,die,noun,祖母,祖母,Großmutter,machine_candidate,Review before applying to seed
Großstadt,die,noun,大都市,大都市,Großstadt,machine_candidate,Review before applying to seed
Großvater,der,noun,祖父,祖父,Großvater,machine_candidate,Review before applying to seed
grün,,unknown,緑,緑,grün,machine_candidate,Review before applying to seed
Grund,der,noun,理由,理由,Grund,machine_candidate,Review before applying to seed
Grundgesetz,das,noun,基本法,基本法,Grundgesetz,machine_candidate,Review before applying to seed
Grundschule,die,noun,小学校,小学校,Grundschule,machine_candidate,Review before applying to seed
Gruppe,die,noun,グループ,グループ,Gruppe,machine_candidate,Review before applying to seed
Gruß,der,noun,挨拶,挨拶,Gruß,machine_candidate,Review before applying to seed
grüßen,,verb,挨拶する,挨拶する,grüßen,machine_candidate,Review before applying to seed
günstig,,adjective,安い,安い,günstig,machine_candidate,Review before applying to seed
gut,,unknown,良い,良い,gut,machine_candidate,Review before applying to seed
Gymnasium,das,noun,高校,高校,Gymnasium,machine_candidate,Review before applying to seed
Haar,das,noun,髪,髪,Haar,machine_candidate,Review before applying to seed
haben,,verb,持っている,持っている,haben,machine_candidate,Review before applying to seed
Hafen,der,noun,港,港,Hafen,machine_candidate,Review before applying to seed
halb,,unknown,半分,半分,halb,machine_candidate,Review before applying to seed
hallo,,unknown,こんにちは,こんにちは,hallo,machine_candidate,Review before applying to seed
Hals,der,noun,ネック,ネック,Hals,machine_candidate,Review before applying to seed
halten,,verb,所有,所有,halten,machine_candidate,Review before applying to seed
Haltestelle,die,noun,停止,停止,Haltestelle,machine_candidate,Review before applying to seed
Hand,die,noun,手,手,Hand,machine_candidate,Review before applying to seed
Handel,der,noun,貿易,貿易,Handel,machine_candidate,Review before applying to seed
handeln,,verb,活動,活動,handeln,machine_candidate,Review before applying to seed
Handtasche,die,noun,ハンドバッグ,ハンドバッグ,Handtasche,machine_candidate,Review before applying to seed
Handy,das,noun,携帯電話,携帯電話,Handy,machine_candidate,Review before applying to seed
hängen,,verb,下がる,下がる,hängen,machine_candidate,Review before applying to seed
hart,,unknown,難しい,難しい,hart,machine_candidate,Review before applying to seed
hässlich,,adjective,醜い,醜い,hässlich,machine_candidate,Review before applying to seed
häufig,,adjective,頻繁に,頻繁に,häufig,machine_candidate,Review before applying to seed
Hauptstadt,die,noun,首都,首都,Hauptstadt,machine_candidate,Review before applying to seed
Hauptstraße,die,noun,メインストリート,メインストリート,Hauptstraße,machine_candidate,Review before applying to seed
Haus,das,noun,家,家,Haus,machine_candidate,Review before applying to seed
Hausaufgabe,die,noun,宿題,宿題,Hausaufgabe,machine_candidate,Review before applying to seed
Hausfrau,die,noun,主婦,主婦,Hausfrau,machine_candidate,Review before applying to seed
Heft,das,noun,ノート,ノート,Heft,machine_candidate,Review before applying to seed
heftig,,adjective,暴力的な,暴力的な,heftig,machine_candidate,Review before applying to seed
hegen,,verb,大切にする,大切にする,hegen,machine_candidate,Review before applying to seed
Heimat,die,noun,ホームタウン,ホームタウン,Heimat,machine_candidate,Review before applying to seed
heiraten,,verb,結婚する,結婚する,heiraten,machine_candidate,Review before applying to seed
heiß,,unknown,熱い,熱い,heiß,machine_candidate,Review before applying to seed
heißen,,verb,という名前である,という名前である,heißen,machine_candidate,Review before applying to seed
heiter,,unknown,陽気な,陽気な,heiter,machine_candidate,Review before applying to seed
Heizung,die,noun,加熱,加熱,Heizung,machine_candidate,Review before applying to seed
helfen,,verb,ヘルプ,ヘルプ,helfen,machine_candidate,Review before applying to seed
hell,,unknown,明るい,明るい,hell,machine_candidate,Review before applying to seed
Hemd,das,noun,シャツ,シャツ,Hemd,machine_candidate,Review before applying to seed
her,,unknown,ここ,ここ,her,machine_candidate,Review before applying to seed
heraus,,unknown,ここから出て,ここから出て,heraus,machine_candidate,Review before applying to seed
Herbst,der,noun,秋,秋,Herbst,machine_candidate,Review before applying to seed
herein,,unknown,で,で,herein,machine_candidate,Review before applying to seed
Herr,der,noun,ミスター,ミスター,Herr,machine_candidate,Review before applying to seed
herrschen,,verb,勝つ,勝つ,herrschen,machine_candidate,Review before applying to seed
herstellen,,verb,生産する,生産する,herstellen,machine_candidate,Review before applying to seed
Herz,das,noun,心臓,心臓,Herz,machine_candidate,Review before applying to seed
herzlich,,adjective,心からの,心からの,herzlich,machine_candidate,Review before applying to seed
heute,,unknown,今日,今日,heute,machine_candidate,Review before applying to seed
hier,,unknown,ここ,ここ,hier,machine_candidate,Review before applying to seed
Hilfe,die,noun,ヘルプ,ヘルプ,Hilfe,machine_candidate,Review before applying to seed
Himmel,der,noun,天国,天国,Himmel,machine_candidate,Review before applying to seed
hin,,unknown,そこには,そこには,hin,machine_candidate,Review before applying to seed
hindern,,verb,防ぐ,防ぐ,hindern,machine_candidate,Review before applying to seed
hinter,,unknown,後ろに,後ろに,hinter,machine_candidate,Review before applying to seed
Hitze,die,noun,熱,熱,Hitze,machine_candidate,Review before applying to seed
Hobby,das,noun,趣味,趣味,Hobby,machine_candidate,Review before applying to seed
hoch,,unknown,高い,高い,hoch,machine_candidate,Review before applying to seed
Hochschule,die,noun,カレッジ,カレッジ,Hochschule,machine_candidate,Review before applying to seed
höchstens,,unknown,せいぜい,せいぜい,höchstens,machine_candidate,Review before applying to seed
Hochzeit,die,noun,結婚式,結婚式,Hochzeit,machine_candidate,Review before applying to seed
hoffen,,verb,希望,希望,hoffen,machine_candidate,Review before applying to seed
hoffentlich,,adjective,うまくいけば,うまくいけば,hoffentlich,machine_candidate,Review before applying to seed
Höhe,die,noun,身長,身長,Höhe,machine_candidate,Review before applying to seed
holen,,verb,フェッチ,フェッチ,holen,machine_candidate,Review before applying to seed
Holz,das,noun,木材,木材,Holz,machine_candidate,Review before applying to seed
hören,,verb,聞く,聞く,hören,machine_candidate,Review before applying to seed
Hose,die,noun,パンツ,パンツ,Hose,machine_candidate,Review before applying to seed
Hotel,das,noun,ホテル,ホテル,Hotel,machine_candidate,Review before applying to seed
hübsch,,unknown,かわいい,かわいい,hübsch,machine_candidate,Review before applying to seed
Huhn,das,noun,チキン,チキン,Huhn,machine_candidate,Review before applying to seed
Hund,der,noun,犬,犬,Hund,machine_candidate,Review before applying to seed
Hunger,der,noun,飢え,飢え,Hunger,machine_candidate,Review before applying to seed
hungrig,,adjective,お腹がすいた,お腹がすいた,hungrig,machine_candidate,Review before applying to seed
husten,,verb,咳,咳,husten,machine_candidate,Review before applying to seed
Hut,der,noun,帽子,帽子,Hut,machine_candidate,Review before applying to seed
Idee,die,noun,アイデア,アイデア,Idee,machine_candidate,Review before applying to seed
immer,,unknown,いつも,いつも,immer,machine_candidate,Review before applying to seed
Import,der,noun,輸入,輸入,Import,machine_candidate,Review before applying to seed
indem,,unknown,による,による,indem,machine_candidate,Review before applying to seed
Industrie,die,noun,業界,業界,Industrie,machine_candidate,Review before applying to seed
Information,die,noun,情報,情報,Information,machine_candidate,Review before applying to seed
Ingenieur,der,noun,エンジニア,エンジニア,Ingenieur,machine_candidate,Review before applying to seed
Inhalt,der,noun,コンテンツ,コンテンツ,Inhalt,machine_candidate,Review before applying to seed
innerhalb,,unknown,内で,内で,innerhalb,machine_candidate,Review before applying to seed
Insel,die,noun,島,島,Insel,machine_candidate,Review before applying to seed
insgesamt,,unknown,合計で,合計で,insgesamt,machine_candidate,Review before applying to seed
Institut,das,noun,研究所,研究所,Institut,machine_candidate,Review before applying to seed
interessant,,unknown,面白い,面白い,interessant,machine_candidate,Review before applying to seed
Interesse,das,noun,興味,興味,Interesse,machine_candidate,Review before applying to seed
interessieren,,verb,興味がある,興味がある,interessieren,machine_candidate,Review before applying to seed
international,,unknown,国際的,国際的,international,machine_candidate,Review before applying to seed
inzwischen,,verb,間に,間に,inzwischen,machine_candidate,Review before applying to seed
ja,,unknown,はい,はい,ja,machine_candidate,Review before applying to seed
Jacke,die,noun,ジャケット,ジャケット,Jacke,machine_candidate,Review before applying to seed
Jahr,das,noun,年,年,Jahr,machine_candidate,Review before applying to seed
Jahreszeit,die,noun,季節,季節,Jahreszeit,machine_candidate,Review before applying to seed
Jahrhundert,das,noun,世紀,世紀,Jahrhundert,machine_candidate,Review before applying to seed
Jazz,der,noun,ジャズ,ジャズ,Jazz,machine_candidate,Review before applying to seed
jeder,,unknown,みんな,みんな,jeder,machine_candidate,Review before applying to seed
jedoch,,unknown,しかし,しかし,jedoch,machine_candidate,Review before applying to seed
jemand,,unknown,誰か,誰か,jemand,machine_candidate,Review before applying to seed
jetzt,,unknown,今,今,jetzt,machine_candidate,Review before applying to seed
Job,der,noun,仕事,仕事,Job,machine_candidate,Review before applying to seed
jobben,,verb,仕事,仕事,jobben,machine_candidate,Review before applying to seed
Journalist,der,noun,ジャーナリスト,ジャーナリスト,Journalist,machine_candidate,Review before applying to seed
Jugend,die,noun,若者,若者,Jugend,machine_candidate,Review before applying to seed
jung,,unknown,若い,若い,jung,machine_candidate,Review before applying to seed
Junge,der,noun,男の子,男の子,Junge,machine_candidate,Review before applying to seed
Jura,der,noun,法,法,Jura,machine_candidate,Review before applying to seed
Jurist,der,noun,法学者,法学者,Jurist,machine_candidate,Review before applying to seed
Kaffee,der,noun,コーヒー,コーヒー,Kaffee,machine_candidate,Review before applying to seed
Kaiser,der,noun,天皇,天皇,Kaiser,machine_candidate,Review before applying to seed
kalt,,unknown,寒い,寒い,kalt,machine_candidate,Review before applying to seed
Kamera,die,noun,カメラ,カメラ,Kamera,machine_candidate,Review before applying to seed
Kamerad,der,noun,メイト,メイト,Kamerad,machine_candidate,Review before applying to seed
kämpfen,,verb,戦い,戦い,kämpfen,machine_candidate,Review before applying to seed
Kanzler,der,noun,首相,首相,Kanzler,machine_candidate,Review before applying to seed
Kapitalismus,der,noun,資本主義,資本主義,Kapitalismus,machine_candidate,Review before applying to seed
kaputt,,unknown,壊れた,壊れた,kaputt,machine_candidate,Review before applying to seed
Kartoffel,die,noun,じゃがいも,じゃがいも,Kartoffel,machine_candidate,Review before applying to seed
Käse,der,noun,チーズ,チーズ,Käse,machine_candidate,Review before applying to seed
Kasse,die,noun,チェックアウト,チェックアウト,Kasse,machine_candidate,Review before applying to seed
Kasten,der,noun,木箱,木箱,Kasten,machine_candidate,Review before applying to seed
Katze,die,noun,猫,猫,Katze,machine_candidate,Review before applying to seed
kaufen,,verb,買う,買う,kaufen,machine_candidate,Review before applying to seed
Kaufhaus,das,noun,デパート,デパート,Kaufhaus,machine_candidate,Review before applying to seed
Kaufmann,der,noun,商人,商人,Kaufmann,machine_candidate,Review before applying to seed
kaum,,unknown,かろうじて,かろうじて,kaum,machine_candidate,Review before applying to seed
Keller,der,noun,地下室,地下室,Keller,machine_candidate,Review before applying to seed
Kellner,der,noun,ウェイター,ウェイター,Kellner,machine_candidate,Review before applying to seed
kennen,,verb,知っている、知り合いである,知っている、知り合いである,kennen,machine_candidate,Review before applying to seed
kennen lernen,,verb,知り合う,知り合う,kennen lernen,machine_candidate,Review before applying to seed
Kenner,der,noun,鑑定家,鑑定家,Kenner,machine_candidate,Review before applying to seed
Kenntnis,die,noun,知識,知識,Kenntnis,machine_candidate,Review before applying to seed
Kern,der,noun,コア,コア,Kern,machine_candidate,Review before applying to seed
Kerze,die,noun,キャンドル,キャンドル,Kerze,machine_candidate,Review before applying to seed
Kilometer,der,noun,キロメートル,キロメートル,Kilometer,machine_candidate,Review before applying to seed
Kind,das,noun,子供,子供,Kind,machine_candidate,Review before applying to seed
Kindergarten,der,noun,幼稚園,幼稚園,Kindergarten,machine_candidate,Review before applying to seed
Kino,das,noun,シネマ,シネマ,Kino,machine_candidate,Review before applying to seed
Kirche,die,noun,教会,教会,Kirche,machine_candidate,Review before applying to seed
klar,,unknown,クリア,クリア,klar,machine_candidate,Review before applying to seed
Klasse,die,noun,クラス,クラス,Klasse,machine_candidate,Review before applying to seed
klassisch,,adjective,クラシック,クラシック,klassisch,machine_candidate,Review before applying to seed
Klavier,das,noun,ピアノ,ピアノ,Klavier,machine_candidate,Review before applying to seed
Kleid,das,noun,ドレス,ドレス,Kleid,machine_candidate,Review before applying to seed
Kleidung,die,noun,衣類,衣類,Kleidung,machine_candidate,Review before applying to seed
klein,,unknown,小さい,小さい,klein,machine_candidate,Review before applying to seed
Klima,das,noun,気候,気候,Klima,machine_candidate,Review before applying to seed
klingeln,,verb,指輪,指輪,klingeln,machine_candidate,Review before applying to seed
klingen,,verb,音,音,klingen,machine_candidate,Review before applying to seed
klopfen,,verb,ノック,ノック,klopfen,machine_candidate,Review before applying to seed
klug,,unknown,頭いい,頭いい,klug,machine_candidate,Review before applying to seed
Knie,das,noun,膝,膝,Knie,machine_candidate,Review before applying to seed
Knochen,der,noun,骨,骨,Knochen,machine_candidate,Review before applying to seed
Knopf,der,noun,ボタン,ボタン,Knopf,machine_candidate,Review before applying to seed
Koch,der,noun,料理する,料理する,Koch,machine_candidate,Review before applying to seed
kochen,,verb,料理する,料理する,kochen,machine_candidate,Review before applying to seed
Koffer,der,noun,スーツケース,スーツケース,Koffer,machine_candidate,Review before applying to seed
