order,lemma_de,display_de,article,pos,current_meaning_ja,suggested_meaning_ja,reason,confidence,action,notes
1422,verzeihen,verzeihen,,verb,許し,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1431,vollkommen,vollkommen,,verb,完全に,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1437,vorgestern,vorgestern,,verb,一昨日,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1438,vorhaben,vorhaben,,verb,プラン,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1450,vorstellen,vorstellen,,verb,導入,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1465,wandern,wandern,,verb,ハイキング,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1469,warten,warten,,verb,待って,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1476,wechseln,wechseln,,verb,変化,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1477,wecken,wecken,,verb,起きろ,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1481,wegen,wegen,,verb,のため,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1515,willkommen,willkommen,,verb,いらっしゃいませ,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1517,winken,winken,,verb,波,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1541,wundern,wundern,,verb,不思議,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1543,wünschen,wünschen,,verb,願い,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1550,Zeichen,Zeichen,das,noun,サイン,,英語 sign 寄りの直訳で、Zeichen などは記号・印の可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1552,Zeile,Zeile,die,noun,ライン,,Linie / Zeile などは線・行・路線の可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1568,Zoll,Zoll,der,noun,税関,税関、関税、インチ,Zoll は税関・関税・インチの多義語,medium,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
1569,Zone,Zone,die,noun,ゾーン,,Zone は領域・区域が自然な場合が多い / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1574,zufrieden,zufrieden,,verb,満足,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1580,zumachen,zumachen,,verb,近い,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1585,zusammen,zusammen,,verb,一緒に,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1586,Zustand,Zustand,der,noun,状態,,Bedingung / Zustand などの区別が必要,medium,review-required,meaning_ja: Google Translate candidate
1590,zweifeln,zweifeln,,verb,疑い,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1593,zwischen,zwischen,,verb,間,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
36,Angebot,Angebot,das,noun,オファー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
54,Anzug,Anzug,der,noun,メンズスーツ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
64,arm,arm,,adjective,アーム,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
79,Aufsatz,Aufsatz,der,noun,エッセイ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
110,Bäcker,Bäcker,der,noun,ベイカー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
111,Bäckerei,Bäckerei,die,noun,ベーカリー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
112,Bad,Bad,das,noun,バスルーム,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
116,Bahnsteig,Bahnsteig,der,noun,プラットフォーム,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
118,Balkon,Balkon,der,noun,バルコニー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
120,Bank,Bank,die,noun,ベンチ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,homonym corrected: die Bank/Bänke = ベンチ
121,bar,bar,,adjective,クマ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
169,Bett,Bett,das,noun,ベッド,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
187,Blatt,Blatt,das,noun,シート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
191,Blick,Blick,der,noun,ビュー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
194,Blitz,Blitz,der,noun,フラッシュ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
195,blond,blond,,adjective,ブロンド,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
197,Bluse,Bluse,die,noun,ブラウス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
201,Boot,Boot,das,noun,ボート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
215,Brot,Brot,das,noun,パン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
216,Brötchen,Brötchen,das,noun,ロールパン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
224,bunt,bunt,,adjective,カラフル,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
227,Büro,Büro,das,noun,オフィス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
228,Bus,Bus,der,noun,バス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
229,Butter,Butter,die,noun,バター,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
230,Café,Café,die,noun,カフェ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
231,Cent,Cent,der,noun,セント,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
232,Chance,Chance,die,noun,チャンス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
233,Charakter,Charakter,der,noun,キャラクター,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
234,Chef,Chef,der,noun,ボス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
243,Dame,Dame,die,noun,レディ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
257,Decke,Decke,die,noun,シーリング,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
275,doppelt,doppelt,,adverb,ダブル,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
276,Doppelzimmer,Doppelzimmer,das,noun,ダブルルーム,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
282,dumm,dumm,,adjective,バカ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
290,Dusche,Dusche,die,noun,シャワー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
292,Dutzend,Dutzend,das,noun,ダース,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
295,Ecke,Ecke,die,noun,コーナー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
315,Einzelzimmer,Einzelzimmer,das,noun,シングルルーム,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
349,Erinnerung,Erinnerung,die,noun,メモリ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
361,Erwachsene,Erwachsene,die,noun,アダルト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
369,Esszimmer,Esszimmer,das,noun,ダイニングルーム,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
372,Euro,Euro,der,noun,ユーロ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
373,Europa,Europa,die,noun,ヨーロッパ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
377,Examen,Examen,das,noun,テスト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
382,Fahrer,Fahrer,der,noun,ドライバ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
383,Fahrkarte,Fahrkarte,die,noun,チケット,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
385,Fahrt,Fahrt,die,noun,ドライブ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
401,Fenster,Fenster,das,noun,ウィンドウ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
416,Flasche,Flasche,die,noun,ボトル,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
421,Flug,Flug,der,noun,フライト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
447,freundlich,freundlich,,adjective,フレンドリー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
453,Frucht,Frucht,die,noun,フルーツ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
467,Fußball,Fußball,der,noun,フットボール,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
469,Gabel,Gabel,die,noun,フォーク,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
472,Garage,Garage,die,noun,ガレージ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
474,Gast,Gast,der,noun,ゲスト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
478,Gebiet,Gebiet,das,noun,エリア,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
487,Gefühl,Gefühl,das,noun,フィーリング,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
489,Gegend,Gegend,die,noun,エリア,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
495,Geige,Geige,die,noun,バイオリン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
532,Glas,Glas,das,noun,ガラス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
538,glücklich,glücklich,,adjective,ハッピー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
543,Gramm,Gramm,das,noun,グラム,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
546,grau,grau,,adjective,グレー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
549,Grippe,Grippe,die,noun,インフルエンザ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
551,Größe,Größe,die,noun,サイズ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
559,Gruppe,Gruppe,die,noun,グループ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
570,Hals,Hals,der,noun,ネック,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
576,Handtasche,Handtasche,die,noun,ハンドバッグ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
583,Hauptstraße,Hauptstraße,die,noun,メインストリート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
587,Heft,Heft,das,noun,ノート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
590,Heimat,Heimat,die,noun,ホームタウン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
598,Hemd,Hemd,das,noun,シャツ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
603,Herr,Herr,der,noun,ミスター,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
610,Hilfe,Hilfe,die,noun,ヘルプ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
618,Hochschule,Hochschule,die,noun,カレッジ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
627,Hose,Hose,die,noun,パンツ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
630,Huhn,Huhn,das,noun,チキン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
642,Ingenieur,Ingenieur,der,noun,エンジニア,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
643,Inhalt,Inhalt,der,noun,コンテンツ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
654,Jacke,Jacke,die,noun,ジャケット,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
658,Jazz,Jazz,der,noun,ジャズ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
665,Journalist,Journalist,der,noun,ジャーナリスト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
671,Kaffee,Kaffee,der,noun,コーヒー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
675,Kamerad,Kamerad,der,noun,メイト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
681,Käse,Käse,der,noun,チーズ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
682,Kasse,Kasse,die,noun,チェックアウト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
686,Kaufhaus,Kaufhaus,das,noun,デパート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
690,Kellner,Kellner,der,noun,ウェイター,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
695,Kern,Kern,der,noun,コア,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
696,Kerze,Kerze,die,noun,キャンドル,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
700,Kino,Kino,das,noun,シネマ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
702,klar,klar,,adjective,クリア,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
703,Klasse,Klasse,die,noun,クラス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
704,klassisch,klassisch,,adjective,クラシック,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
706,Kleid,Kleid,das,noun,ドレス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
716,Knopf,Knopf,der,noun,ボタン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
719,Koffer,Koffer,der,noun,スーツケース,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
720,Kohl,Kohl,der,noun,キャベツ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
728,Konto,Konto,das,noun,アカウント,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
729,Konzert,Konzert,das,noun,コンサート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
732,Korb,Korb,der,noun,バスケット,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
743,Krawatte,Krawatte,die,noun,ネクタイ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
744,Kreditkarte,Kreditkarte,die,noun,クレジットカード,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
750,Kuchen,Kuchen,der,noun,ケーキ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
751,Kugelschreiber,Kugelschreiber,der,noun,ボールペン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
760,Künstler,Künstler,der,noun,アーティスト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
761,Kurs,Kurs,der,noun,コース,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
763,Kuss,Kuss,der,noun,キス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
768,Lampe,Lampe,die,noun,ランプ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
777,Lärm,Lärm,der,noun,ノイズ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
785,ledig,ledig,,adjective,シングル,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
790,leicht,leicht,,adjective,ライト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
799,Licht,Licht,das,noun,ライト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
809,Liste,Liste,die,noun,リスト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
810,Liter,Liter,der,noun,リットル,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
812,Lkw,Lkw,der,noun,トラック,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
815,Löffel,Löffel,der,noun,スプーン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
835,Mannschaft,Mannschaft,die,noun,チーム,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
836,Mantel,Mantel,der,noun,コート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
838,Mark,Mark,die,noun,マーク,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
855,Meister,Meister,der,noun,マスター,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
858,Menü,Menü,das,noun,メニュー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
861,Messer,Messer,das,noun,ナイフ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
881,Mode,Mode,die,noun,ファッション,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
890,Motorrad,Motorrad,das,noun,オートバイ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
895,Münze,Münze,die,noun,コイン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
898,Musiker,Musiker,der,noun,ミュージシャン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
907,Nachricht,Nachricht,die,noun,ニュース,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
910,Nachtisch,Nachtisch,der,noun,デザート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
925,nett,nett,,adjective,ニース,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
926,Netz,Netz,das,noun,ネットワーク,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
949,Ober,Ober,der,noun,オーバー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
950,Obst,Obst,das,noun,フルーツ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
961,Oper,Oper,die,noun,オペラ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
965,Orange,Orange,die,noun,オレンジ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
967,original,original,,adjective,オリジナル,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
970,Ostern,Ostern,das,noun,イースター,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
971,paar,paar,,adjective,カップル,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
973,Paket,Paket,das,noun,パッケージ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
977,Partei,Partei,die,noun,パーティー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
978,Party,Party,die,noun,パーティー,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
979,Pass,Pass,der,noun,パスポート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
986,Pfanne,Pfanne,die,noun,パン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
991,Pfund,Pfund,das,noun,ポンド,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
994,Pilz,Pilz,der,noun,キノコ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
996,Plan,Plan,der,noun,プラン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1005,Postkarte,Postkarte,die,noun,ポストカード,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1016,Programm,Programm,das,noun,プログラム,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1017,Prozent,Prozent,das,noun,パーセント,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1018,Prozess,Prozess,der,noun,プロセス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1020,Prüfung,Prüfung,die,noun,テスト,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1022,Pullover,Pullover,der,noun,セーター,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1023,Punkt,Punkt,der,noun,ポイント,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1028,Quelle,Quelle,die,noun,ソース,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1030,Quittung,Quittung,die,noun,レシート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1038,Rätsel,Rätsel,das,noun,パズル,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1049,Regel,Regel,die,noun,ルール,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1052,Regenmantel,Regenmantel,der,noun,レインコート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1056,reich,reich,,adjective,リッチ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1080,Rock,Rock,der,noun,スカート,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
1093,Saft,Saft,der,noun,ジュース,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1095,Salat,Salat,der,noun,レタス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1102,sauber,sauber,,adjective,クリーン,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1104,Schach,Schach,das,noun,チェス,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1106,Schaden,Schaden,der,noun,ダメージ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1108,Schalter,Schalter,der,noun,スイッチ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
1109,scharf,scharf,,adjective,シャープ,,カタカナ直訳。false friend や文脈違いの可能性,low,review-required,meaning_ja: Google Translate candidate
